Food,Disease,Clinical Trial,Food.or.Diet.Related,title,author,journal,number,cites,year,pubid,
vegetables,,,yes,High-pressure processing of broccoli sprouts: Influence on bioactivation of glucosinolates to isothiocyanates,"A Westphal, KM Riedl, JL Cooperstone, S Kamat, VM Balasubramaniam, ...",Journal of agricultural and food chemistry,"65 (39), 8578-8585",23,2017,GYcXSSpN504C,
"tomato, phytochemicals",,,yes,"Thermal processing differentially affects lycopene and other carotenoids in cis-lycopene containing, tangerine tomatoes","JL Cooperstone, DM Francis, SJ Schwartz",Food chemistry,"210, 466-472",23,2016,ufrVoPGSRksC,
"tomato, phytochemicals",,,yes,Impact of thermal and pressure-based technologies on carotenoid retention and quality attributes in tomato juice,"B Yan, SI Martínez-Monteagudo, JL Cooperstone, KM Riedl, SJ Schwartz, ...",Food and Bioprocess Technology,"10 (5), 808-818",16,2017,idthP5jqfYAC,
"vegetables, vitamins & minerals",,yes,yes,Relative contribution of α-carotene to postprandial vitamin A concentrations in healthy humans after carrot consumption,"JL Cooperstone, HJ Goetz, KM Riedl, EH Harrison, SJ Schwartz, ...",The American journal of clinical nutrition,"106 (1), 59-66",15,2017,WzTVkKNmPSkC,
fruits,"oral cancer, oral carcinogenesis",,yes,Metabolic regulation of glycolysis and amp activated protein kinase pathways during black raspberry-mediated oral cancer chemoprevention,"TJ Knobloch, NM Ryan, L Bruschweiler-Li, C Wang, MC Bernier, ...",Metabolites,"9 (7), 140",12,2019,i_7YvbSbtFEC,
fruits,,,yes,Profiling the impact of thermal processing on black raspberry phytochemicals using untargeted metabolomics,"MD Teegarden, SJ Schwartz, JL Cooperstone",Food chemistry,"274, 782-788",11,2019,V_vSwabWVtYC,
"tomato, phytochemicals",,,yes,Effect of solvent addition sequence on lycopene extraction efficiency from membrane neutralized caustic peeled tomato waste,"DM Phinney, JC Frelka, JL Cooperstone, SJ Schwartz, DR Heldman",Food chemistry,"215, 354-361",11,2017,Se3iqnhoufwC,
"tomato, phytochemicals",,,yes,Analysis of tomato carotenoids: comparing extraction and chromatographic methods,"MP Dzakovich, E Gas-Pascual, CJ Orchard, EN Sari, KM Riedl, ...",Journal of AOAC International,"102 (4), 1069-1079",7,2019,4n0clTBhZ78C,
,,,,An HPLC–MS/MS method for the separation of α-retinyl esters from retinyl esters,"HJ Goetz, RE Kopec, KM Riedl, JL Cooperstone, S Narayanasamy, ...",Journal of Chromatography B,"1029, 68-71",7,2016,roLk4NBRz8UC,
"tomato, phytochemicals",,yes,yes,Limited appearance of apocarotenoids is observed in plasma after consumption of tomato juices: a randomized human clinical trial,"JL Cooperstone, JA Novotny, KM Riedl, MJ Cichon, DM Francis, ...",The American journal of clinical nutrition,"108 (4), 784-792",5,2018,cNe27ouKFcQC,
fruits,,,yes,Storage conditions modulate the metabolomic profile of a black raspberry nectar with minimal impact on bioactivity,"MD Teegarden, TJ Knobloch, CM Weghorst, JL Cooperstone, ...",Food & function,"9 (9), 4593-4601",4,2018,SpPTWFSNUtQC,
vitamins & minerals,keratinocyte carcinoma,,yes,25‐Hydroxyvitamin D3 and its C‐3 epimer are elevated in the skin and serum of Skh‐1 mice supplemented with dietary vitamin D3,"MD Teegarden, AR Campbell, JL Cooperstone, KL Tober, SJ Schwartz, ...",Molecular nutrition & food research,"61 (10), 1700293",4,2017,g_UdREhPGEoC,
tomato,,,yes,A High-Throughput Extraction and Analysis Method for Steroidal Glycoalkaloids in Tomato,"MP Dzakovich, JL Hartman, JL Cooperstone",Frontiers in Plant Science,"11, 767",3,2020,MDX3w3dAD3YC,
"tomato, vegetables, phytochemicals",,yes,yes,Carotenoids and apo‐carotenoids in human plasma after continued consumption of high β‐carotene or high lycopene tomato juice,"JL Cooperstone, KM Riedl, MJ Cichon, DM Francis, RW Curley Jr, ...",The FASEB Journal,"31, 635.13-635.13",3,2017,Kqc1aDSOPooC,
other,,,yes,"Concentrations of the Opium Alkaloids Morphine, Codeine, and Thebaine in Poppy Seeds are Reduced after Thermal and Washing Treatments but are Not Affected when Incorporated in …","SA Shetge, MP Dzakovich, JL Cooperstone, D Kleinmeier, BW Redan",Journal of agricultural and food chemistry,"68 (18), 5241-5248",1,2020,oursBaop5wYC,
,,,,"Developing interdisciplinary thinking in a food and nutritional security, hunger, and sustainability graduate course","NA Knobloch, M Charoenmuang, JL Cooperstone, BS Patil",The Journal of Agricultural Education and Extension,"26 (1), 113-127",1,2020,uAPFzskPt0AC,
"tomato, phytochemicals",,yes,yes,"Increased carotenoid bioavailability from a unique, cislycopene containing tangerine‐type tomato","JL Cooperstone, RA Ralston, KM Riedl, DM Francis, GB Lesinski, ...",The FASEB Journal,"27, 38.1-38.1",1,2013,u-x6o8ySG0sC,
tomato,,,yes,Biosynthesis of Steroidal Alkaloids Are Coordinately Regulated and Differ Among Tomatoes in the Red-Fruited Clade,"MP Dzakovich, DM Francis, JL Cooperstone",bioRxiv,2021.01. 06.425594,0,2021,EBV337fEn3EC,
"soy, tomato",chronic pancreatitis,,yes,Soy-tomato enriched diet reduces inflammation and disease severity in a pre-clinical model of chronic pancreatitis,"D Mukherjee, MJ DiVincenzo, M Torok, F Choueiry, RJ Kumar, A Deems, ...",Scientific reports,"10 (1), 1-14",0,2020,bXQfdp6S9ecC,
fruits,contact hypersensitivity,,yes,Black Raspberries and Protocatechuic Acid Mitigate DNFB-Induced Contact Hypersensitivity by Down-Regulating Dendritic Cell Activation and Inhibiting Mediators of Effector Responses,"K Anderson, N Ryan, A Siddiqui, T Pero, G Volpedo, JL Cooperstone, ...",Nutrients,"12 (6), 1701",0,2020,yIeBiWEAh44C,
tomato,prostate cancer,,yes,Dietary Tomato Varieties Similarly Inhibit Prostate Carcinogenesis in the TRAMP Model in Association with Distinct Transcriptomic and Metabolomic Profiles,"C Geraghty, J Thomas-Ahner, R Powell, N Schmidt, ...",Current Developments in Nutrition,"4 (Supplement_2), 326-326",0,2020,lK9BDNCuzFgC,
"soy, tomato",chronic pancreatitis,,yes,Soy-tomato enriched diet reduces inflammation and disease severity in a pre-clinical model of chronic pancreatitis,"M Debasmita, MJ DiVincenzo, M Torok, C Fouad, RJ Kumar, A Deems, ...",Scientific Reports (Nature Publisher Group),10 (1),0,2020,SrKkpNFED5gC,
"soy, tomato",chronic pancreatitis,,yes,Soy-tomato Enriched Diet Reduces Inflammation and Disease Severity in a Pre-clinical Model of Chronic Pancreatitis,"F Choueiry, M DiVincenzo, A Deems, M Torok, SK Kulp, WE Carson, ...",PANCREAS,"48 (10), 1414-1415",0,2019,0ngZmJvimKcC,
tomato,,,yes,Estimating parental contributions to hybrid rootstocks in grafted tomato,"S Fenstemaker, J Miller, J Cooperstone, D Francis",II International Symposium on Vegetable Grafting,"1302, 241-250",0,2019,DQNrXyjhriIC,
other,cardiovascular disease,,yes,"Impact of 3 Eggs/day on the Plasma Lipidome of Young, Healthy Adults (OR19-04-19)","D DiMarco, E Bilbrey, M Cichon, ML Fernandez, J Cooperstone",Current developments in nutrition,"3 (Supplement_1), nzz046. OR19-04-19",0,2019,ukw-9cB-YDkC,
fruits,,,yes,Storage conditions affect the untargeted chemical profile and bioactivity of black raspberry nectar intended for use in clinical trials,"M Teegarden, T Knobloch, C Weghorst, J Cooperstone, D Peterson",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,255,0,2018,e84hm74t-eoC,
fruits,tobacco-related cancer,yes,yes,Untargeted Profiling of the Urinary Metabolomes of Smokers and Nonsmokers after a Strawberry Intervention,"MD Teegarden, MJ Cichon, JL Cooperstone, JH Ahn‐Jarvis, ...",The FASEB Journal,"30, 911.6-911.6",0,2016,_FxGoFyzp5QC,
"tomato, phytochemicals",cancer,,yes,"Tangerine tomato carotenoids: processing, structure, bioavailability and biological implications of consumption",JL Cooperstone,The Ohio State University,,0,2014,Y0pCki6q_DkC,
,,,,Insights into social insects from the genome of the honeybee Apis mellifera,"GM Weinstock, GE Robinson, RA Gibbs, KC Worley, JD Evans, ...",Nature,"443 (7114), 931-949",594,2006,zA6iFVUQeVQC,
,,,,Apparatus for connecting a longitudinal member to a bone portion,AE Shluzas,US Patent,"6,837,889",405,2005,UxriW0iASnsC,
,,,,From the genome to the proteome: uncovering peptides in the Apis brain,"AB Hummon, TA Richmond, P Verleyen, G Baggerman, J Huybrechts, ...",Science,"314 (5799), 647-649",297,2006,KlAtU1dfN6UC,
,,,,Isolation and solubilization of proteins after TRIzol® extraction of RNA and DNA from patient material following prolonged storage,"AB Hummon, SR Lim, MJ Difilippantonio, T Ried",Biotechniques,"42 (4), 467-472",219,2007,zYLM7Y9cAGgC,
,,,,Proteomic challenges: sample preparation techniques for microgram-quantity protein analysis from biological samples,"P Feist, AB Hummon",International journal of molecular sciences,"16 (2), 3537-3563",206,2015,hFOr9nPyWt4C,
,,,,Discovering new invertebrate neuropeptides using mass spectrometry,"AB Hummon, A Amare, JV Sweedler",Mass spectrometry reviews,"25 (1), 77-98",161,2006,u_35RYKgDlwC,
,,,,"Gene expression profiling reveals a massive, aneuploidy-dependent transcriptional deregulation and distinct differences between lymph node–negative and lymph node–positive …","M Grade, P Hörmann, S Becker, AB Hummon, D Wangsa, S Varma, ...",Cancer research,"67 (1), 41-56",130,2007,W7OEmFMy1HYC,
,,,,Evaluation of therapeutics in three-dimensional cell culture systems by MALDI imaging mass spectrometry,"X Liu, EM Weaver, AB Hummon",Analytical chemistry,"85 (13), 6295-6302",99,2013,CHSYGLWDkRkC,
,,,,Integrative genomics reveals mechanisms of copy number alterations responsible for transcriptional deregulation in colorectal cancer,"J Camps, Q Tri Nguyen, HM Padilla‐Nash, T Knutsen, NE McNeil, ...","Genes, Chromosomes and Cancer","48 (11), 1002-1017",88,2009,Y0pCki6q_DkC,
,,,,Imaging mass spectrometry: From tissue sections to cell cultures,"EM Weaver, AB Hummon",Advanced drug delivery reviews,"65 (8), 1039-1055",85,2013,L8Ckcad2t8MC,
,,,,Imaging mass spectrometry of three-dimensional cell culture systems,"H Li, AB Hummon",Analytical chemistry,"83 (22), 8794-8801",83,2011,blknAaTinKkC,
,,,,Chromosomal breakpoints in primary colon cancer cluster at sites of structural variants in the genome,"J Camps, M Grade, QT Nguyen, P Hörmann, S Becker, AB Hummon, ...",Cancer research,"68 (5), 1284-1295",83,2008,YsMSGLbcyi4C,
,,,,Chemical imaging of platinum-based drugs and their metabolites,"X Liu, AB Hummon",Scientific reports,"6 (1), 1-10",82,2016,MXK_kJrjxJIC,
,,,,Genetic amplification of the NOTCH modulator LNX2 upregulates the WNT/β-catenin pathway in colorectal cancer,"J Camps, JJ Pitt, G Emons, AB Hummon, CM Case, M Grade, TL Jones, ...",Cancer research,"73 (6), 2003-2013",82,2013,J_g5lzvAfSwC,
,,,,"Characterization of Aplysia enticin and temptin, two novel water-borne protein pheromones that act in concert with attractin to stimulate mate attraction","SF Cummins, AE Nichols, A Amare, AB Hummon, JV Sweedler, GT Nagle",Journal of Biological Chemistry,"279 (24), 25614-25622",71,2004,HDshCWvjkbEC,
,,,,Right‐side and left‐side colon cancer follow different pathways to relapse,"KM Bauer, AB Hummon, S Buechler",Molecular carcinogenesis,"51 (5), 411-421",66,2012,roLk4NBRz8UC,
,,,,Bridging neuropeptidomics and genomics with bioinformatics: Prediction of mammalian neuropeptide prohormone processing,"A Amare, AB Hummon, BR Southey, TA Zimmerman, SL Rodriguez-Zas, ...",Journal of proteome research,"5 (5), 1162-1167",58,2006,5nxA0vEk-isC,
,,,,Drug penetration and metabolism in 3D cell cultures treated in a 3D printed fluidic device: assessment of irinotecan via MALDI imaging mass spectrometry,"GJ LaBonia, SY Lockwood, AA Heller, DM Spence, AB Hummon",Proteomics,"16 (11-12), 1814-1821",56,2016,yD5IFk8b50cC,
,,,,Correlated mass spectrometry imaging and confocal Raman microscopy for studies of three-dimensional cell culture sections,"DR Ahlf, RN Masyuko, AB Hummon, PW Bohn",Analyst,"139 (18), 4578-4585",53,2014,GnPB-g6toBAC,
,,,,"Comparison of in-solution, FASP, and S-trap based digestion methods for bottom-up proteomic studies","KR Ludwig, MM Schroll, AB Hummon",Journal of proteome research,"17 (7), 2480-2490",52,2018,4TOpqqG69KYC,
,,,,Mass spectrometry imaging of therapeutics from animal models to three-dimensional cell cultures,"X Liu, AB Hummon",Analytical chemistry,"87 (19), 9508-9519",52,2015,3s1wT3WcHBgC,
,,,,Effects of the miR-143/-145 microRNA cluster on the colon cancer proteome and transcriptome,"KM Bauer, AB Hummon",Journal of proteome research,"11 (9), 4744-4754",50,2012,4DMP91E08xMC,
,,,,Peer reviewed: the chemistry of thought: neurotransmitters in the brain,"JN Stuart, AB Hummon, JV Sweedler",Analytical chemistry,"76 (7), 120 A-128 A",46,2004,3fE2CSJIrl8C,
,,,,Mass spectrometry for the discovery of biomarkers of sepsis,"KR Ludwig, AB Hummon",Molecular BioSystems,"13 (4), 648-664",45,2017,NaGl4SEjCO4C,
,,,,Comparing Multistep Immobilized Metal Affinity Chromatography and Multistep TiO2 Methods for Phosphopeptide Enrichment,"X Yue, A Schunter, AB Hummon",Analytical chemistry,"87 (17), 8837-8844",44,2015,7PzlFSSx8tAC,
,,,,Over 2300 phosphorylated peptide identifications with single-shot capillary zone electrophoresis-tandem mass spectrometry in a 100 min separation,"KR Ludwig, L Sun, G Zhu, NJ Dovichi, AB Hummon",Analytical chemistry,"87 (19), 9532-9537",42,2015,RGFaLdJalmkC,
,,,,Proteomic and functional investigation of the colon cancer relapse-associated genes NOX4 and ITGA3,"KM Bauer, TN Watts, S Buechler, AB Hummon",Journal of proteome research,"13 (11), 4910-4918",41,2014,abG-DnoFyZgC,
,,,,Analyzing liposomal drug delivery systems in three-dimensional cell culture models using MALDI imaging mass spectrometry,"JK Lukowski, EM Weaver, AB Hummon",Analytical chemistry,"89 (16), 8453-8458",39,2017,NMxIlDl6LWMC,
,,,,A genomic strategy for the functional validation of colorectal cancer genes identifies potential therapeutic targets,"M Grade, AB Hummon, J Camps, G Emons, M Spitzner, J Gaedcke, ...",International journal of cancer,"128 (5), 1069-1079",39,2011,a0OBvERweLwC,
,,,,From precursor to final peptides: a statistical sequence-based approach to predicting prohormone processing,"AB Hummon, NP Hummon, RW Corbin, L Li, FS Vilim, KR Weiss, ...",Journal of proteome research,"2 (6), 650-656",38,2003,g5m5HwL7SMYC,
,,,,Quantitative proteomic and phosphoproteomic comparison of 2D and 3D colon cancer cell culture models,"X Yue, JK Lukowski, EM Weaver, SB Skube, AB Hummon",Journal of proteome research,"15 (12), 4265-4276",37,2016,M3ejUd6NZC8C,
,,,,Combination of multistep IMAC enrichment with high-pH reverse phase separation for in-depth phosphoproteomic profiling,"XS Yue, AB Hummon",Journal of proteome research,"12 (9), 4176-4186",36,2013,ZeXyd9-uunAC,
,,,,Sample preparation strategies for mass spectrometry imaging of 3D cell culture models,"DRA Wheatcraft, X Liu, AB Hummon",Journal of visualized experiments: JoVE,,35,2014,eQOLeE2rZwMC,
,,,,A novel prohormone processing site in Aplysia californica: the Leu–Leu rule,"AB Hummon, HQ Huang, WP Kelley, JV Sweedler",Journal of neurochemistry,"82 (6), 1398-1405",33,2002,SeFeTyx0c_EC,
,,,,Comparative label‐free LC‐MS/MS analysis of colorectal adenocarcinoma and metastatic cells treated with 5‐fluorouracil,"KM Bauer, PA Lambert, AB Hummon",Proteomics,"12 (12), 1928-1937",32,2012,9ZlFYXVOiuMC,
,,,,MALDI mass spectrometry imaging for evaluation of therapeutics in colorectal tumor organoids,"X Liu, C Flinders, SM Mumenthaler, AB Hummon",Journal of The American Society for Mass Spectrometry,"29 (3), 516-526",29,2017,RHpTSmoSYBkC,
,,,,Systems-wide RNAi analysis of CASP8AP2/FLASH shows transcriptional deregulation of the replication-dependent histone genes and extensive effects on the transcriptome of …,"AB Hummon, JJ Pitt, J Camps, G Emons, SB Skube, K Huppi, TL Jones, ...",Molecular cancer,"11 (1), 1-22",26,2012,qUcmZB5y_30C,
,,,,Comparison of bottom-up proteomic approaches for LC-MS analysis of complex proteomes,"LA Weston, KM Bauer, AB Hummon",Analytical Methods,"5 (18), 4615-4621",25,2013,u5HHmVD_uO8C,
specialized diets,,,yes,Nutrient restriction of glucose or serum results in similar proteomic expression changes in 3D colon cancer cell cultures,"MM Schroll, X Liu, SK Herzog, SB Skube, AB Hummon",Nutrition Research,"36 (10), 1068-1080",24,2016,TQgYirikUcIC,
,,,,Single cell metabolic profiling of tumor mimics,"RB Keithley, EM Weaver, AM Rosado, MP Metzinger, AB Hummon, ...",Analytical chemistry,"85 (19), 8910-8918",23,2013,mB3voiENLucC,
specialized diets,,,yes,Glucose restriction combined with autophagy inhibition and chemotherapy in HCT 116 spheroids decreases cell clonogenicity and viability regulated by tumor suppressor genes,"MM Schroll, GJ LaBonia, KR Ludwig, AB Hummon",Journal of proteome research,"16 (8), 3009-3018",22,2017,r0BpntZqJG4C,
,,,,Discovering new neuropeptides using single-cell mass spectrometry,"AB Hummon, JV Sweedler, RW Corbin",TrAC Trends in Analytical Chemistry,"22 (8), 515-521",22,2003,2P1L_qKh6hAC,
,,,,MALDI-MSI of immunotherapy: mapping the EGFR-targeting antibody cetuximab in 3D colon-cancer cell cultures,"X Liu, JK Lukowski, C Flinders, S Kim, RA Georgiadis, SM Mumenthaler, ...",Analytical chemistry,"90 (24), 14156-14164",21,2018,_Qo2XoVZTnwC,
,,,,Multicellular tumor spheroids combined with mass spectrometric histone analysis to evaluate epigenetic drugs,"PE Feist, S Sidoli, X Liu, MM Schroll, S Rahmy, R Fujiwara, BA Garcia, ...",Analytical chemistry,"89 (5), 2773-2781",21,2017,BqipwSGYUEgC,
,,,,Assessing chemotherapeutic effectiveness using a paper-based tumor model,"MW Boyce, GJ LaBonia, AB Hummon, MR Lockett",Analyst,"142 (15), 2819-2827",21,2017,isC4tDSrTZIC,
,,,,Quantitative determination of irinotecan and the metabolite SN-38 by nanoflow liquid chromatography-tandem mass spectrometry in different regions of multicellular tumor spheroids,"X Liu, AB Hummon",Journal of The American Society for Mass Spectrometry,"26 (4), 577-586",20,2015,HoB7MX3m0LUC,
,,,,Chemometric analysis of MALDI mass spectrometric images of three-dimensional cell culture systems,"EM Weaver, AB Hummon, RB Keithley",Analytical Methods,"7 (17), 7208-7219",20,2015,cFHS6HbyZ2cC,
,,,,iTRAQ quantitative proteomic profiling and MALDI–MSI of colon cancer spheroids treated with combination chemotherapies in a 3D printed fluidic device,"GJ LaBonia, KR Ludwig, CB Mousseau, AB Hummon",Analytical chemistry,"90 (2), 1423-1430",19,2018,RYcK_YlVTxYC,
,,,,Comparative LC-MS/MS analysis of optimal cutting temperature (OCT) compound removal for the study of mammalian proteomes,"LA Weston, AB Hummon",Analyst,"138 (21), 6380-6384",18,2013,D03iK_w7-QYC,
,,,,Bottom‐up proteomic analysis of single HCT 116 colon carcinoma multicellular spheroids,"PE Feist, L Sun, X Liu, NJ Dovichi, AB Hummon",Rapid Communications in Mass Spectrometry,"29 (7), 654-658",14,2015,4OULZ7Gr8RgC,
,,,,"Capillary Zone Electrophoresis–Tandem Mass Spectrometry for Large-Scale Phosphoproteomics with the Production of over 11,000 Phosphopeptides from the Colon Carcinoma HCT116 …","D Chen, KR Ludwig, OV Krokhin, V Spicer, Z Yang, X Shen, AB Hummon, ...",Analytical chemistry,"91 (3), 2201-2208",13,2019,qjMakFHDy7sC,
,,,,Phosphoproteomics of colon cancer metastasis: comparative mass spectrometric analysis of the isogenic primary and metastatic cell lines SW480 and SW620,"AJ Schunter, X Yue, AB Hummon",Analytical and bioanalytical chemistry,"409 (7), 1749-1763",13,2017,UeHWp8X0CEIC,
,,,,Calcitriol supplementation causes decreases in tumorigenic proteins and different proteomic and metabolomic signatures in right versus left-sided colon cancer,"MM Schroll, KR Ludwig, KM Bauer, AB Hummon",Metabolites,"8 (1), 5",11,2018,4JMBOYKVnBMC,
,,,,"Discovery of leucokinin-like neuropeptides that modulate a specific parameter of feeding motor programs in the molluscan model, Aplysia","G Zhang, FS Vilim, DD Liu, EV Romanova, K Yu, WD Yuan, H Xiao, ...",Journal of Biological Chemistry,"292 (46), 18775-18789",10,2017,kNdYIx-mwKoC,
,,,,Evaluation of the mirn23a Cluster through an iTRAQ-based Quantitative Proteomic Approach,"KR Ludwig, R Dahl, AB Hummon",Journal of proteome research,"15 (5), 1497-1505",9,2016,aqlVkmm33-oC,
,,,,"Aneuploidy, oncogene amplification and epithelial to mesenchymal transition define spontaneous transformation of murine epithelial cells","HM Padilla-Nash, NE McNeil, M Yi, QT Nguyen, Y Hu, D Wangsa, ...",Carcinogenesis,"34 (8), 1929-1939",8,2013,dfsIfKJdRG4C,
,,,,Chemical analysis of morphological changes in lysophosphatidic acid-treated ovarian cancer cells,"KA Bailey, Y Klymenko, PE Feist, AB Hummon, MS Stack, ZD Schultz",Scientific reports,"7 (1), 1-13",7,2017,dhFuZR0502QC,
,,,,Induced chromosomal aneuploidy results in global and consistent deregulation of the transcriptome of cancer cells,"D Wangsa, R Braun, CH Stuelten, M Brown, KM Bauer, G Emons, ...",Neoplasia,"21 (7), 721-729",6,2019,d1gkVwhDpl0C,
,,,,Employing proteomics to understand the effects of nutritional intervention in cancer treatment,"MM Schroll, AB Hummon",Analytical and bioanalytical chemistry,"410 (25), 6371-6386",5,2018,TFP_iSt0sucC,
,,,,Developing a Drug Screening Platform: MALDI-Mass Spectrometry Imaging of Paper-Based Cultures,"F Tobias, JC McIntosh, GJ LaBonia, MW Boyce, MR Lockett, AB Hummon",Analytical chemistry,"91 (24), 15370-15376",4,2019,SP6oXDckpogC,
,,,,Quantitative proteomic analysis of murine white adipose tissue for peritoneal cancer metastasis,"PE Feist, EA Loughran, MS Stack, AB Hummon",Analytical and bioanalytical chemistry,"410 (5), 1583-1594",4,2018,KxtntwgDAa4C,
,,,,"Selective, bead-based global peptide capture using a bifunctional cross-linker","LA Weston, KM Bauer, SB Skube, AB Hummon",Analytical chemistry,"85 (22), 10675-10679",4,2013,YFjsv_pBGBYC,
,,,,"Gene expression profiling reveals a massive, aneuploidy-dependent transcriptional deregulation and distinct differences between lymph node-negative and lymph node-positive …","M Grade, P Hoermann, S Becker, AB Hummon, D Wangsa, S Varma, ...",Cancer research,"67 (4), 1877-1877",4,2007,pqnbT2bcN3wC,
,,,,Quantitative evaluation of liposomal doxorubicin and its metabolites in spheroids,"JK Lukowski, AB Hummon",Analytical and bioanalytical chemistry,"411 (27), 7087-7094",3,2019,O3NaXMp0MMsC,
,,,,Combined Short-Term Glucose Starvation and Chemotherapy in 3D Colorectal Cancer Cell Culture Decreases 14-3-3 Family Protein Expression and Phenotypic Response to Therapy,"MM Schroll, KR Ludwig, GJ LaBonia, EL Herring, AB Hummon",Journal of The American Society for Mass Spectrometry,"29 (10), 2012-2022",3,2018,Wp0gIr-vW9MC,
,,,,Magnetic bead-based peptide extraction methodology for tissue imaging,"WT Andrews, SB Skube, AB Hummon",Analyst,"143 (1), 133-140",3,2018,ns9cj8rnVeAC,
,,,,Mass spectrometry-based phosphoproteomics in cancer research,"XS Yue, AB Hummon",Frontiers in biology,"7 (6), 566-586",3,2012,35N4QoGY0k4C,
,,,,Biomarkers and uses thereof in prognosis and treatment strategies for right-side colon cancer disease and left-side colon cancer disease,"S Buechler, A Hummon",US Patent App.,"13/332,071",3,2012,u-x6o8ySG0sC,
,,,,Considerations for MALDI-based quantitative mass spectrometry imaging studies,"F Tobias, AB Hummon",Journal of Proteome Research,"19 (9), 3620-3630",2,2020,XiSMed-E-HIC,
,,,,ColoType: a forty gene signature for consensus molecular subtyping of colorectal cancer tumors using whole-genome assay or targeted RNA-sequencing,"SA Buechler, MT Stephens, AB Hummon, K Ludwig, E Cannon, TC Carter, ...",Scientific reports,"10 (1), 1-13",2,2020,u9iWguZQMMsC,
,,,,In situ metabolite and lipid analysis of GluN2D−/− and wild-type mice after ischemic stroke using MALDI MSI,"WT Andrews, D Donahue, A Holmes, R Balsara, FJ Castellino, ...",Analytical and bioanalytical chemistry,"412 (24), 6275-6285",1,2020,OU6Ihb5iCvQC,
,,,,How to Apply Supervised Machine Learning Tools to MS Imaging Files: Case Study with Cancer Spheroids Undergoing Treatment with the Monoclonal Antibody Cetuximab,"D Hua, X Liu, EP Go, Y Wang, AB Hummon, H Desaire",Journal of the American Society for Mass Spectrometry,"31 (7), 1350-1357",1,2020,p2g8aNsByqUC,
,,,,Electronic Cigarettes and the Lung Proteome,"PG Shields, MA Song, JL Freudenheim, TM Brasky, E Mathe, JP McElroy, ...",American journal of respiratory and critical care medicine,"198 (10), 1350-1351",1,2018,vV6vV6tmYwMC,
,,,,SILAC in vitro quantitative profiling of colon cancer spheroids treated with combination chemotherapies in a 3D printed fluidic device,"A Hummon, GJ LaBonia",MOLECULAR & CELLULAR PROTEOMICS,"16 (8), S13-S13",1,2017,EUQCXRtRnyEC,
,,,,Biomarkers and uses thereof in prognosis and treatment strategies for right-side colon cancer disease and left-side colon cancer disease,"S Buechler, AB Hummon",US Patent,"9,464,328",1,2016,lSLTfruPkqcC,
